Hub,MAE,RMSE,Samples
HB_NORTH,10.34184400358547,15.801672013677873,12
HB_SOUTH,10.173759741171493,15.119262580708053,12
HB_WEST,14.155775161183131,20.072830926179755,12
HB_HOUSTON,9.716420773227231,14.120647865925548,12
HB_PAN,16.628694555320646,23.99699363270634,12
HB_BUSAVG,10.050165371019302,15.295772588601524,12
HB_HUBAVG,10.486749462084164,15.780359414575228,12
